type;n;algo;threshold;time_ms
random;53700;quick;0;2
random;53800;quick;0;2
random;53900;quick;0;2
random;54000;quick;0;2
random;54100;quick;0;2
random;54200;quick;0;2
random;54300;quick;0;2
random;54400;quick;0;2
random;54500;quick;0;2
random;54600;quick;0;2
random;54700;quick;0;2
random;54800;quick;0;2
random;54900;quick;0;3
random;55000;quick;0;2
random;55100;quick;0;2
random;55200;quick;0;2
random;55300;quick;0;2
random;55400;quick;0;2
random;55500;quick;0;2
random;55600;quick;0;2
random;55700;quick;0;2
random;55800;quick;0;2
random;55900;quick;0;2
random;56000;quick;0;2
random;56100;quick;0;2
random;56200;quick;0;2
random;56300;quick;0;2
random;56400;quick;0;2
random;56500;quick;0;2
random;56600;quick;0;3
random;56700;quick;0;2
random;56800;quick;0;2
random;56900;quick;0;2
random;57000;quick;0;2
random;57100;quick;0;3
random;57200;quick;0;3
random;57300;quick;0;3
random;57400;quick;0;3
random;57500;quick;0;3
random;57600;quick;0;3
random;57700;quick;0;3
random;57800;quick;0;3
random;57900;quick;0;3
random;58000;quick;0;3
random;58100;quick;0;3
random;58200;quick;0;3
random;58300;quick;0;3
random;58400;quick;0;3
random;58500;quick;0;3
random;58600;quick;0;3
random;58700;quick;0;3
random;58800;quick;0;3
random;58900;quick;0;3
random;59000;quick;0;3
random;59100;quick;0;3
random;59200;quick;0;3
random;59300;quick;0;3
random;59400;quick;0;3
random;59500;quick;0;3
random;59600;quick;0;3
random;59700;quick;0;3
random;59800;quick;0;3
random;59900;quick;0;3
random;60000;quick;0;3
random;60100;quick;0;3
random;60200;quick;0;3
random;60300;quick;0;3
random;60400;quick;0;3
random;60500;quick;0;3
random;60600;quick;0;3
random;60700;quick;0;3
random;60800;quick;0;3
random;60900;quick;0;3
random;61000;quick;0;3
random;61100;quick;0;3
random;61200;quick;0;3
random;61300;quick;0;3
random;61400;quick;0;3
random;61500;quick;0;3
random;61600;quick;0;3
random;61700;quick;0;3
random;61800;quick;0;3
random;61900;quick;0;3
random;62000;quick;0;3
random;62100;quick;0;3
random;62200;quick;0;3
random;62300;quick;0;3
random;62400;quick;0;3
random;62500;quick;0;3
random;62600;quick;0;3
random;62700;quick;0;3
random;62800;quick;0;3
random;62900;quick;0;3
random;63000;quick;0;3
random;63100;quick;0;3
random;63200;quick;0;3
random;63300;quick;0;3
random;63400;quick;0;3
random;63500;quick;0;3
random;63600;quick;0;3
random;63700;quick;0;3
random;63800;quick;0;3
random;63900;quick;0;3
random;64000;quick;0;3
random;64100;quick;0;3
random;64200;quick;0;3
random;64300;quick;0;3
random;64400;quick;0;3
random;64500;quick;0;3
random;64600;quick;0;3
random;64700;quick;0;3
random;64800;quick;0;3
random;64900;quick;0;3
random;65000;quick;0;3
random;65100;quick;0;3
random;65200;quick;0;3
random;65300;quick;0;3
random;65400;quick;0;3
random;65500;quick;0;3
random;65600;quick;0;3
random;65700;quick;0;3
random;65800;quick;0;3
random;65900;quick;0;3
random;66000;quick;0;3
random;66100;quick;0;3
random;66200;quick;0;3
random;66300;quick;0;3
random;66400;quick;0;3
random;66500;quick;0;3
random;66600;quick;0;3
random;66700;quick;0;3
random;66800;quick;0;3
random;66900;quick;0;3
random;67000;quick;0;3
random;67100;quick;0;3
random;67200;quick;0;3
random;67300;quick;0;3
random;67400;quick;0;3
random;67500;quick;0;3
random;67600;quick;0;3
random;67700;quick;0;3
random;67800;quick;0;3
random;67900;quick;0;3
random;68000;quick;0;3
random;68100;quick;0;3
random;68200;quick;0;3
random;68300;quick;0;3
random;68400;quick;0;3
random;68500;quick;0;3
random;68600;quick;0;3
random;68700;quick;0;3
random;68800;quick;0;3
random;68900;quick;0;3
random;69000;quick;0;3
random;69100;quick;0;3
random;69200;quick;0;3
random;69300;quick;0;3
random;69400;quick;0;3
random;69500;quick;0;3
random;69600;quick;0;3
